Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
DUA,08/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[13857be98c494bbfa47af45c6e9be1e8][1]_[1].jpeg,98,"[""Música""]",Termo de Fomento 2019,Circulação,Encontro,Arte e Cultura,Falso,Presencial,"[""NÃO SE APLICA""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Exibição de Documentário Mulheres na Conservação: Mulheres que Conectam Natureza e Ciência,08/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[fe683ac071bd4505a044a5d2cf817de1][1]_[1].jpg,38,"[""Educação Ambiental""]",Salas Verdes,Não se aplica,Vivência,Ambiental,Falso,Presencial,"[""Gabriela França"",""Fernanda Barros ""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
"Exposição: Ave Marias, Cheias de Arte",08/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2aedc5e9970e4586bbd86b69467eaa00][1]_[1].jpg,159,"[""Artes Visuais""]",Termo de Fomento 2019,Não se aplica,Visita,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",março
Elaboração Corporal,12/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0d817d7961574a0dbeed5e64b9568180][1]_[1].png,6,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Tear,12/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[beb9f73eff67416594e55b8ff695acd7][1]_[1].jpeg,4,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Comunicação Não Violenta,13/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[abdefef40bf543fd8a26588ef17c8a40][1]_[1].jpeg,4,"[""Educação""]",Voluntariado,Não se aplica,Oficina,Desenvolvimento pessoal,Falso,Presencial,"[""Carina Grassetto""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Bordado,14/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e4879e762b8048c59e48c1e7a8d15e26][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Cerâmica,14/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2e3cbe4daa124e5aafe856a156effaff][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Meditação,15/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4f8e9d82e53548448445fc264ed7b70d][1]_[1].jpeg,3,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Marly Andrade""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Palhaçaria,15/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[49e66c62f7f44ba694fa3b873c2e9045][1]_[1].jpeg,3,"[""Artes Circences""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Palhaçaria,15/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6964d4fe439145d9a8fdfed3d3d09ac8][1]_[1].jpeg,9,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Miguel safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
A maquiagem como ferramenta para a cena na comicidade,16/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e5f1070af88e449aa1d6407b8282ab89][1]_[1].jpg,13,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Presencial,"[""Johnny""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Projeto Colibri"",""Nucleo Educatho""]",março
Humor sem Fronteiras,16/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[84e8c8308f5d4bfd8ff8b73a4056a547][1]_[1].jpg,18,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Presencial,"[""María Gavaldón""]",Gestora,"[""Projeto Colibri"",""Prefeitura SJC"",""FCCR"",""Nucleo Educatho""]",março
Bordado,18/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[497bec1edca6426d93ed6f0b80593863][1]_[1].jpeg,6,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Palhaçaria - A mais humana das artes,18/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9b5c9a45e373480c8e306c7fa9c2e3d3][1]_[1].png,24,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Virtual,"[""Thiago Cardoso"",""Alberto Vizoso""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Projeto Colibri"",""Nucleo Educatho""]",março
Programação,18/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[70b5f389a55945df8ad310fe311958d9][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Clube de Leitura,20/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9bb9c134fba3432bae917496649186b1][1]_[6].jpeg,8,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Encontro,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Como Falhar em Público,20/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[275ddc77e8cb4d2e8f70d48cf7351952][1]_[1].png,18,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Virtual,"[""Darlan Jr (Fileh)""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Projeto Colibri"",""Nucleo Educatho""]",março
Costuras poéticas,20/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[915c1e975c6a4cfeb2545a28f6815cd9][1]_[1].jpeg,4,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",GESTORA,"[""FCCR"",""Prefeitura SJC""]",março
Bordado,21/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ae833f76707248cd845a7d3e00269c8f][1]_[1].jpeg,7,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
