Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
Tear (Turma da Manhã),28/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3c77a81b8c3644f1806211e08a04535b][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear (Turma da Tarde),28/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0630c654008d47fe9c9630b9c40841af][1]_[1].jpeg,7,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Clube de Leitura,29/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[98ddf5e5cc19407bb0f32a5ebb1cf01f][1]_[1].jpeg,10,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Oficina,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Costuras Poéticas,29/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[34201d9443e04e3e8dddb23640898da1][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Pintura Espontânea,29/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1168eb87c2aa4b74a71716490b6a21ec][1]_[1].jpeg,4,"[""Artes Visuais""]",Voluntariado,Não se aplica,Workshop,Saúde Física e Bem estar,Falso,Presencial,"[""Lou Spineli""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,30/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a8f38cdcef5a4f6c8247d22c8c6f3b01][1]_[1].jpeg,4,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",maio
Construção de Brinquedos,31/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[961ee1bfba3e4aa4b84295525b9db280][1]_[1].jpeg,13,"[""Economia criativa""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Túlio Mecedo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Modelagem em Argila,31/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6787510fbdf44f2bb527897d567dc58d][1]_[1].jpeg,30,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Mirna tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear de  Pregos,31/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4985b265979f4bf5aca99852dc53f06a][1]_[1].jpeg,30,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,03/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[00f95fac63464c04913916f7632e5cdb][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Programação,03/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[65459d15bc7d4624a154b290781af7b2][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Tarde),04/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0ac32aebee1645bd97399daac96b2112][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Costuras Poéticas,05/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ce54ac2732604ea09edfc99d8bdb60b1][1]_[1].jpeg,4,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,06/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[563cac0b3d3b499f96cea727909ea524][1]_[1].jpeg,4,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Cerâmica,06/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[98729239bf094804b0582fdfbee42b47][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Lian Gong,06/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[929503b777434c75a9962a4f94ecbfb8][1]_[1].jpeg,4,"[""Saúde Física""]",Termo de Fomento 2019,Não se aplica,Vivência,Arte e Cultura,Falso,Presencial,"[""Andreia e Jaqueline""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""UPA/UBS""]",junho
Bordado,07/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2b190d6800234b5db14400d7a6046ce3][1]_[1].jpeg,10,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonratrh""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Brincadeiras infantis,07/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[88583edd350f4267b18c66b1734676c1][1]_[1].jpeg,8,"[""Cultura da infância""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Costuras poéticas,07/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[34667e79b04b4f169c2161edbbb4a564][1]_[1].jpeg,48,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,10/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[dcfa8420ffb44821bb16710e75827f13][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Grupo de mulheres de SFX,10/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9e785b69d04d4d4d98690adf6afd960e][1]_[1].jpg,15,"[""Artesanato""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Jorge Serão o poeta,10/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[23780e06404043819a219a2916e62bc4][1]_[1].jpeg,64,"[""Fotografia"",""Literatura""]",Termo de Fomento 2019,Elos da Língua,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Programação,10/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2d97283d57c04272a8e0fb132790cfc7][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Manhã),11/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b9ef31cce05b4e079f885ee78a016778][1]_[1].jpeg,1,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Tarde),11/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a6ec4f03af5940509442ab5e60643817][1]_[1].jpeg,4,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Costuras Poéticas,12/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6d45ef1806de43bbadce9dc74a4084d2][1]_[1].jpeg,6,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,13/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1e4be3832bee45f0b7c3dbd1549d227b][1]_[1].jpeg,6,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Cerâmica,13/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[fe100775ad9c4dceae76c7f792bcfa47][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Exposição: Caneta e Cores,13/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d3093231bfcd4232ba8c5254965e86bb][1]_[1].jpg,124,"[""Artes Visuais""]",Termo de Fomento 2019,Não se aplica,Visita,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Lian Gong,13/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[94251818b215417691fc5cb5f80a3132][1]_[1].jpeg,6,"[""Saúde Física""]",Termo de Fomento 2019,Não se aplica,Vivência,Arte e Cultura,Falso,Presencial,"[""Andreia e Jaqueline""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Circo (palhaçaria),14/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[baded5a4d7c04c168e481b9ef071ad69][1]_[1].jpeg,12,"[""Circo""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
No Varal,14/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[051cad2df8f24869af402b871f886dc6][1]_[1].jpeg,45,"[""Artes Visuais""]",Termo de Fomento 2019,PNAB/PROAC,Oficina,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Palhaçaria (CIRCO),14/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[70421670c0ab4757b18b82404c378b5f][1]_[1].jpeg,18,"[""Circo""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,17/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[24102156315749d7b5394842bf98083e][1]_[1].jpeg,3,"[""Artesanato/ Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Programação,17/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9821e359b96942b8b1862fddbf9aec65][1]_[1].jpg,3,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Manhã),18/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[815ae08c1cc64616a544707fdf2dde3b][1]_[1].jpeg,3,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Tarde),18/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ea37cec111da4543bbc5c36477043e5b][1]_[1].jpeg,5,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Todos os corpos dançam,21/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d9e85fc15f134a4dadb4896226dd9184][1]_[1].jpeg,20,"[""Dança""]",Termo de Fomento 2019,PNAB/PROAC,Workshop,Arte e Cultura,Falso,Presencial,"[""Kimie""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,24/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[99137d02fe9d4180b124e8f2b7df9b0e][1]_[1].jpeg,7,"[""Artes Visuais""]",Termo de Fomento 2019,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Meditação,24/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[61e3adcf87e640aab33b2ffe50351897][1]_[1].jpeg,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Marly Andrade""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Manhã),25/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[43b07e85f98c4be6b33e5d44cbf0db33][1]_[1].jpeg,3,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear (Turma da Tarde),25/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6202e342872041cbad0155be5e1a2a94][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Clube de Leitura,26/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[8fd9af0af8d2433793a05d480ea816e2][1]_[1].jpeg,13,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Curso,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Costura Poéticas,26/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[83fb3818e0d0461f9b46b3f793a16fad][1]_[1].jpeg,5,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,27/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6c68a4dc7cab4761a9ce9a709bd151e1][1]_[1].jpeg,4,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Cerâmica,27/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[28a7ce549b594405bd307095ca77e3a2][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Lian Gong,27/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[80c9899093494454b4b83417c80dfe9a][1]_[1].jpeg,4,"[""Saúde Física""]",Termo de Fomento 2019,Não se aplica,Vivência,Arte e Cultura,Falso,Presencial,"[""Andreia e Jaqueline""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Construção de brinquedos,28/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[517dc435eede49d6b4bdd9741b1ba042][1]_[1].jpeg,8,"[""Economia Criativa""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Vivian Rau""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Modelagem em argila,28/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4568cc6fdddf4dca831535810bad71c3][1]_[1].jpeg,12,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Tear de pregos,28/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[50ea890dfda543d4a5d00ef863beff0a][1]_[1].jpeg,12,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Bordado,01/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[bc71f89f13c14945a87dfae9412cd2dd][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Manhã),02/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[df46903336e34653ad0a4cf97180bdf2][1]_[1].jpeg,3,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Tarde),02/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4a9bac013b604cc9a02447ab16c72ff7][1]_[1].jpeg,4,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Costuras Poéticas,03/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[87614384926a495293dab455d31e488f][1]_[1].jpeg,4,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Julliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,04/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[f7cb1c28d3ce440db2d000b0f9a0f39d][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Cerâmica,04/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7161507b34e846e0a201c1bfca4a200b][1]_[1].jpeg,2,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Exposição Avoando,04/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5072d2f7b798475fa6dd98407d5d7abb][1]_[1].jpeg,162,"[""Artes Visuais""]",Termo de Fomento 2019,Avoando,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Lian Gong,04/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4119aa1750534195ae050b6f7f6c0b76][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Jaqueline Andreia""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Arte de brincar,05/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[151102bc47ce4674bffbe792de35a5ba][1]_[1].jpeg,27,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,08/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[f63c4535f7ee455080e4c605ee922bcf][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Grupo de Mulheres SFX,08/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[99b4f50d3bef42b7a3187c64a33dd656][1]_[1].jpeg,6,"[""Artesanato""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Meditação,08/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4cdd2ac689234adfbac71153c6b98749][1]_[1].jpeg,6,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Márcia Tarmer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Tarde),10/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[711bd6c694724b8f8e83559d5b45ad05][1]_[1].jpeg,9,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,11/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6808c0384717459fab3246e2cc75ae99][1]_[1].jpeg,3,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Lian Gong,11/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[18af93329b6d41dbb9753a3279a08519][1]_[5].jpeg,5,"[""Saúde Física""]",Termo de Fomento 2019,Parceria com UBS,Vivência,Arte e Cultura,Falso,Presencial,"[""Andreia e Jaqueline""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""UPA/UBS""]",julho
Exposição e sessão de empréstimos: Feira dos produtores ,12/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3f2f3463911a4726916181d78e3da4d3][1]_[1].jpg,26,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Evento,Incentivo à Leitura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Feira dos Produtores""]",julho
Palhaçaria,12/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ccccd6700665490f87fa8e0b23a31b04][1]_[1].jpeg,2,"[""Circo""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Palhaçaria,12/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c065d8a8435b4ab3b0c72161e00a6d9a][1]_[1].jpeg,13,"[""Circo""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,15/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e0fe3b31b3134f4282d362edfbfb5e3c][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Grupo e mulheres de SFX,15/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[172ce26d414f435c99219f46352c235a][1]_[1].jpeg,6,"[""Artesanato""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Manhã),16/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6c5d882be1fc4c0088dd0dd32c83393d][1]_[1].jpeg,5,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Tarde),16/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[31f0eeac5f53482ebcb7641d9c35caf8][1]_[1].jpeg,8,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Costuras Poéticas,17/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ce526290fe5d41f09b0d36a6f5599180][1]_[1].jpeg,5,"[""Memórias"",""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,18/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[8329d6ec1a4746299f2aa54117498555][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
CantAutoras,18/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[96818b542c8b490d86f6aed0cb2f2eec][1]_[1].jpeg,78,"[""Música""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Cerâmica,18/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e9009809dc9a471ab61071ea8c19de5d][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Lian Gong,18/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[038490f44a2b40809a37e53f71fea865][1]_[5].jpeg,7,"[""Saúde Física""]",Termo de Fomento 2019,Parceria com a UBS,Vivência,Arte e Cultura,Falso,Presencial,"[""Andréia e Jaqueline""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
